sourceRefs	grade/level	toolId	title	category	topic	formula	supportedSolveTargets	calculationMethod	exactness	offlinePolicy	status	boundaryNotes
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-boyle	Boyle's Law	Grade 9 Physics	Gas laws	P1*V1=P2*V2	P1,P2,V1,V2	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-calorimetry-balance	Calorimetry Balance	Grade 9 Physics	Heat balance	m1*c1*(Tf-T1)+m2*c2*(Tf-T2)=0	Tf	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-capillary-rise	Capillary Rise	Grade 9 Physics	Fluids	h=2*gamma*cos(theta)/(rho*g*r)	gamma,h,r	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-charles	Charles's Law	Grade 9 Physics	Gas laws	V1/T1=V2/T2	T1,T2,V1,V2	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-combined-gas	Combined Gas Law	Grade 9 Physics	Gas laws	P1*V1/T1=P2*V2/T2	P1,P2,T1,T2,V1,V2	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-critical-angle	Critical Angle	Grade 9 Physics	Optics	thetaC=asin(n2/n1)	n1,n2,thetaC	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-frequency-wavelength	Wave Speed, Frequency and Wavelength	Grade 9 Physics	Waves	v=f*lambda	f,lambda,v	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-latent-heat	Latent Heat	Grade 9 Physics	Phase change	Q = m*L	L,Q,m	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-lens-magnification	Lens Magnification	Grade 9 Physics	Optics	M=-di/do	M,di,do	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-lens-power	Lens Power	Grade 9 Physics	Optics	P=1/f	P,f	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-linear-expansion	Linear Thermal Expansion	Grade 9 Physics	Thermal expansion	dL = alpha*L0*dT	L0,alpha,dL,dT	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-refractive-index-speed	Refractive Index and Light Speed	Grade 9 Physics	Optics	n=c/v	n,v	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-snell	Snell's Law	Grade 9 Physics	Optics	n1*sin(theta1)=n2*sin(theta2)	n1,n2,theta1,theta2	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-surface-tension	Surface Tension Force	Grade 9 Physics	Fluids	F=gamma*L	F,L,gamma	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G9_OFFICIAL_TEXTBOOK_AND_LABS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	9	physics-g9-v4-first-law	First Law of Thermodynamics	Grade 9 Physics	Thermodynamics	dU = Q - W	Q,W,dU	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G9_OFFICIAL_TEXTBOOK_AND_LABS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	9	physics-g9-v4-gay-lussac	Gay-Lussac Pressure–Temperature Law	Grade 9 Physics	Gas laws	P1/T1 = P2/T2	P1,P2,T1,T2	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G9_OFFICIAL_TEXTBOOK_AND_LABS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	9	physics-g9-v4-heat-engine-efficiency	Heat Engine Efficiency	Grade 9 Physics	Thermodynamics	eta = W/Qh*100	Qh,W,eta	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G9_OFFICIAL_TEXTBOOK_AND_LABS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	9	physics-g9-v4-mirror-equation	Spherical Mirror Equation	Grade 9 Physics	Geometric optics	1/f = 1/do + 1/di	di,do,f	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
UZB_G9_OFFICIAL_TEXTBOOK_AND_LABS|V4_ORIGINAL_MISSION|V4_SUBJECT_EXPANSION	9	physics-g9-v4-sound-level	Sound Intensity Level	Grade 9 Physics	Sound	beta = 10*log10(I/1e-12)	I,beta	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	9	physics-g9-wave-period	Wave Period and Frequency	Grade 9 Physics	Waves	T=1/f	T,f	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
