sourceRefs	grade/level	toolId	title	category	topic	formula	supportedSolveTargets	calculationMethod	exactness	offlinePolicy	status	boundaryNotes
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-binding-energy	Nuclear Binding Energy from Mass Defect	Advanced Physics	Nuclear physics	E=dm*c^2	E,dm	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-capacitive-reactance	Capacitive Reactance	Grade 11 Physics	AC circuits	Xc=1/(2*pi*f*C)	C,Xc,f	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-de-broglie	de Broglie Wavelength	Advanced Physics	Quantum physics	lambda=h/p	lambda,p	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-em-wave	Electromagnetic Wave Relation	Grade 11 Physics	Electromagnetic waves	c=f*lambda	f,lambda	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-half-life	Half-Life and Decay Constant	Advanced Physics	Nuclear physics	T_half=ln(2)/lambda	T_half,lambda	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-inductive-reactance	Inductive Reactance	Grade 11 Physics	AC circuits	Xl=2*pi*f*L	L,Xl,f	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-inductor-energy	Inductor Energy	Grade 11 Physics	Electromagnetism	U=L*I^2/2	I,L,U	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-lc-resonance	LC Resonance	Grade 11 Physics	Oscillations	f=1/(2*pi*sqrt(L*C))	C,L,f	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-mass-energy	Mass–Energy Equivalence	Advanced Physics	Relativity	E=m*c^2	E,m	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
V4_DETERMINISTIC_CATALOG|V4_ORIGINAL_MISSION	11	physics-g11-pendulum	Simple Pendulum Period	Grade 11 Physics	Oscillations	T=2*pi*sqrt(L/g)	L,T,g	CLOSED_FORM_NUMERIC	EXACT_WHEN_DECLARED	OFFLINE_FULL	IMPLEMENTED_REGISTRY_BACKED	Formula-capable deterministic relation only; conceptual-only material is not fabricated as a scalar calculator.
